work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2025,3,135000,100,2,0,1,0
2024,3,359400,0,2,0,1,0
2025,2,77000,0,2,0,1,0
2024,2,93700,100,2,0,1,0
2025,4,155350,0,2,0,1,0
2025,2,180000,100,2,0,1,0
2024,3,141480,0,2,0,1,0
2025,3,160000,0,2,0,1,0
2024,2,50000,0,2,0,1,0
2024,2,62500,0,2,0,1,0
2024,3,222480,0,2,0,1,0
2024,3,337250,0,2,0,1,0
2025,1,176000,0,2,0,1,0
2024,3,216000,0,2,0,1,0
2025,3,153925,0,2,0,1,0
2024,3,233582,0,2,0,1,0
2024,2,121550,0,2,0,1,0
2024,3,155000,100,2,0,1,0
2025,3,160000,100,2,0,1,0
2025,2,63323,0,2,0,1,0
2025,2,109943,100,2,0,1,0
2025,1,106260,0,2,0,1,0
2024,2,160000,0,2,0,1,0
2024,2,178000,0,2,0,1,0
2025,3,323400,100,2,0,1,0
2023,3,208500,0,2,0,1,0
2024,1,117200,0,2,0,1,0
2025,3,197100,100,2,0,1,0
2024,1,250000,0,2,0,1,0
2025,2,120000,0,2,0,1,0
2025,2,82500,0,2,0,1,0
2024,3,182000,0,2,0,1,0
2024,2,90000,0,2,0,1,0
2025,3,170500,100,2,0,1,0
2025,1,45000,0,2,0,1,0
2024,3,117000,0,2,0,1,0
2025,3,239000,0,2,0,1,0
2025,2,81600,100,2,0,1,0
2025,2,136300,0,2,0,1,0
2024,2,103500,100,2,0,1,0
2024,3,250200,0,2,0,1,0
2024,3,132600,0,2,0,1,0
2025,2,141600,100,2,0,1,0
2024,2,85000,0,2,0,1,0
2024,3,155000,100,2,0,1,0
2024,2,98300,0,2,0,1,0
2024,3,160000,0,2,0,1,0
2024,2,166000,0,2,0,1,0
2025,3,97600,0,2,0,1,0
2024,3,106590,0,2,0,1,0
2024,3,108100,0,2,0,1,0
2024,1,85000,0,2,0,1,0
2024,3,210500,0,2,0,1,0
2024,2,167200,0,2,0,1,0
2023,3,160000,0,2,0,1,0
2024,3,165600,0,2,0,1,0
2023,3,166000,0,2,0,1,0
2025,3,299000,0,2,0,1,0
2025,2,68947,0,2,0,1,0
2025,3,171000,0,2,0,1,0
2025,2,136000,0,3,0,1,0
2024,3,139000,0,2,0,1,0
2024,3,68750,0,2,0,1,0
2024,3,149000,0,2,0,1,0
2025,1,82500,0,2,0,1,0
2024,1,34000,0,2,0,1,0
2025,3,142800,0,2,0,1,0
2023,3,208450,0,2,0,1,0
2024,3,166560,0,2,0,1,0
2025,1,126000,0,2,0,1,0
2024,3,250700,100,2,0,1,0
2024,3,200000,0,2,0,1,0
2025,2,172000,0,2,0,1,0
2024,2,142800,0,3,0,1,0
2025,2,182000,100,2,0,1,0
2023,3,235000,100,2,0,1,0
2024,2,320000,0,2,0,1,0
2025,3,234000,0,2,0,1,0
2025,3,116700,0,2,0,1,0
2024,2,167700,0,2,0,1,0
2024,2,124000,0,2,0,1,0
2024,3,185000,0,2,0,1,0
2025,3,264500,0,2,0,1,0
2025,2,189291,0,2,0,1,0
2025,2,95495,0,2,0,1,0
2025,2,50526,0,2,0,1,0
2025,4,142320,0,2,0,1,0
2025,4,210526,0,2,0,1,0
2024,2,85000,0,2,0,1,0
2024,3,110000,0,2,0,1,0
2025,3,384200,0,2,0,1,0
2024,2,200200,0,2,0,1,0
2025,3,77848,0,2,0,1,0
2025,3,151200,0,2,0,1,0
2024,3,148000,100,2,0,1,0
2025,3,173700,100,2,0,1,0
2025,3,235750,0,2,0,1,0
2024,3,234520,100,2,0,1,0
2025,3,138250,0,2,0,1,0
2025,2,180000,0,2,0,1,0
2025,2,61000,0,2,0,1,0
2025,3,90000,0,2,0,1,0
2025,2,220700,0,2,0,1,0
2024,1,89000,0,2,0,1,0
2024,2,266000,0,2,0,1,0
2024,2,170000,100,2,0,1,0
2024,3,177000,0,2,0,1,0
2024,3,306000,0,2,0,1,0
2025,3,149800,100,2,0,1,0
2024,3,159000,0,2,0,1,0
2025,3,176000,0,2,0,1,0
2024,2,87800,0,2,0,1,0
2024,3,68000,0,2,0,1,0
2024,2,158500,0,2,0,1,0
2025,3,97070,0,2,0,1,0
2025,2,134000,0,2,0,1,0
2022,3,110925,100,2,0,1,0
2024,2,212800,0,2,0,1,0
2024,1,110000,0,2,0,1,0
2025,2,223400,0,3,0,1,0
2024,2,110000,0,2,0,1,0
2025,2,252000,0,2,0,1,0
