work_year,experience_level,salary_in_usd,remote_ratio,company_size,FL,FT,PT
2025,2,198786,0,2,0,1,0
2023,1,55000,0,2,0,1,0
2025,3,229200,0,2,0,1,0
2025,2,149880,0,2,0,1,0
2025,3,55176,0,2,0,1,0
2024,2,134000,0,2,0,1,0
2024,3,160000,100,2,0,1,0
2024,2,264200,0,2,0,1,0
2024,2,90000,100,2,0,1,0
2024,2,99500,100,2,0,1,0
2024,2,140000,0,2,0,1,0
2025,3,90000,0,2,0,1,0
2024,2,172000,0,2,0,1,0
2025,3,250000,0,2,0,1,0
2024,3,148949,0,2,0,1,0
2024,1,44419,0,2,0,1,0
2024,3,206500,0,2,0,1,0
2025,3,110000,100,2,0,1,0
2024,2,91062,0,2,0,1,0
2024,2,117500,0,2,0,1,0
2025,3,133007,0,2,0,1,0
2024,2,117000,0,2,0,1,0
2025,3,212160,0,2,0,1,0
2024,4,170500,0,2,0,1,0
2024,3,259000,0,2,0,1,0
2025,1,71029,0,2,0,1,0
2024,3,212800,0,3,0,1,0
2024,2,117875,100,2,0,1,0
2025,1,97920,0,2,0,1,0
2024,3,149000,100,2,0,1,0
2024,3,160000,100,2,0,1,0
2024,3,210000,0,2,0,1,0
2024,3,196900,0,2,0,1,0
2024,2,122000,0,2,0,1,0
2024,3,184300,0,2,0,1,0
2024,2,179000,0,2,0,1,0
2023,3,172200,0,2,0,1,0
2024,3,250200,0,2,0,1,0
2024,2,110000,0,2,0,1,0
2024,1,101080,0,2,0,1,0
2025,3,80000,0,2,0,1,0
2025,1,73162,0,2,0,1,0
2023,3,273500,0,2,0,1,0
2024,3,183301,100,2,0,1,0
2025,3,115000,0,2,0,1,0
2025,3,145000,0,2,0,1,0
2024,1,280000,0,2,0,1,0
2025,3,222910,0,2,0,1,0
2025,1,112000,0,2,0,1,0
2024,3,123000,0,2,0,1,0
2024,2,228000,0,2,0,1,0
2024,3,135800,0,2,0,1,0
2025,2,176000,0,2,0,1,0
2025,3,276100,0,2,0,1,0
2025,2,101000,0,2,0,1,0
2024,3,168300,0,2,0,1,0
2024,3,100000,0,2,0,1,0
2024,2,173000,0,2,0,1,0
2025,3,187500,0,2,0,1,0
2024,3,200000,0,2,0,1,0
2023,3,213600,0,2,0,1,0
2024,3,150000,100,2,0,1,0
2024,2,110000,0,2,0,1,0
2025,3,200000,0,2,0,1,0
2024,3,185000,0,2,0,1,0
2023,3,174350,100,2,0,1,0
2025,3,161500,100,2,0,1,0
2025,3,168000,0,2,0,1,0
2024,3,96000,100,2,0,1,0
2025,2,95830,0,2,0,1,0
2024,3,170700,100,2,0,1,0
2025,3,235000,0,2,0,1,0
2025,3,338270,0,2,0,1,0
2024,3,235400,0,2,0,1,0
2024,3,178000,100,2,0,1,0
2024,3,107300,0,2,0,1,0
2024,4,253000,0,2,0,1,0
2025,2,223400,0,3,0,1,0
2024,2,90000,0,2,0,1,0
2025,2,72857,0,2,0,1,0
2025,2,175000,0,2,0,1,0
2023,3,130000,0,2,0,1,0
2024,3,74000,0,2,0,1,0
2024,2,94500,0,2,0,1,0
2024,2,143100,0,2,0,1,0
2024,2,145000,0,2,0,1,0
2024,3,206000,100,2,0,1,0
2024,3,324000,0,2,0,1,0
2025,2,118000,0,2,0,1,0
2025,2,20833,0,2,0,1,0
2024,3,180000,0,2,0,1,0
2024,1,149820,0,2,0,1,0
2024,3,94068,0,2,0,1,0
2025,3,110000,0,2,0,1,0
2023,3,155000,0,2,0,1,0
2025,3,135000,100,2,0,1,0
2024,3,510000,0,2,0,1,0
2024,3,132000,0,2,0,1,0
2024,3,230000,0,2,0,1,0
2024,4,213000,0,2,0,1,0
2025,1,83000,100,2,0,1,0
2024,3,230000,0,2,0,1,0
2024,3,62500,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2024,3,158500,0,2,0,1,0
2025,3,130000,0,2,0,1,0
2025,3,120000,100,2,0,1,0
2025,2,100000,0,2,0,1,0
2025,2,120000,0,2,0,1,0
2023,3,238000,0,2,0,1,0
2024,3,250200,0,2,0,1,0
2024,3,107200,0,2,0,1,0
2025,3,180000,0,2,0,1,0
2024,3,147200,0,2,0,1,0
2025,2,160000,0,2,0,1,0
2023,3,158000,100,2,0,1,0
2022,3,180000,100,2,0,1,0
2024,2,200000,0,2,0,1,0
2025,3,168000,0,2,0,1,0
2024,2,148000,0,2,0,1,0
2025,2,69400,0,2,0,1,0
2025,2,97000,100,2,0,1,0
2024,3,112622,100,2,0,1,0
2024,1,130553,0,2,0,1,0
2024,3,175000,0,2,0,1,0
2024,3,176000,100,2,0,1,0
2024,3,250000,0,2,0,1,0
2025,3,99500,0,3,0,1,0
2024,3,261500,0,2,0,1,0
2024,1,205000,0,2,0,1,0
2024,2,130000,0,2,0,1,0
2025,1,48000,100,2,0,1,0
2024,2,140000,0,2,0,1,0
2025,1,93800,0,2,0,1,0
2024,3,200800,0,2,0,1,0
2025,3,120000,100,2,0,1,0
2025,3,291800,0,2,0,1,0
2025,3,110500,0,2,0,1,0
2024,3,234062,0,2,0,1,0
2024,2,199600,0,2,0,1,0
2025,3,212000,0,2,0,1,0
2024,3,254024,100,2,0,1,0
2024,2,150549,100,2,0,1,0
2023,3,170000,0,2,0,1,0
2025,3,164500,0,2,0,1,0
2025,3,200000,100,2,0,1,0
2024,1,172000,0,2,0,1,0
2024,3,206700,100,2,0,1,0
2024,3,150000,0,2,0,1,0
2023,3,225000,0,2,0,1,0
2023,2,70000,0,2,0,1,0
2024,2,133900,0,2,0,1,0
2024,2,90000,0,2,0,1,0
2022,2,160000,0,2,0,1,0
2020,1,51321,0,1,0,1,0
2025,1,119000,0,2,0,1,0
2025,2,180000,0,2,0,1,0
2025,3,130000,100,2,0,1,0
2025,3,234240,0,2,0,1,0
2025,3,224682,0,2,0,1,0
2024,2,125000,0,2,0,1,0
2025,3,282900,0,2,0,1,0
2025,3,220000,0,2,0,1,0
2025,3,186000,0,2,0,1,0
2025,3,97300,100,2,0,1,0
2023,3,85500,0,2,0,1,0
2024,3,110000,100,2,0,1,0
2024,3,196100,0,2,0,1,0
2024,3,188000,0,2,0,1,0
2025,2,185000,0,2,0,1,0
2024,2,115000,0,3,0,1,0
2024,3,213876,0,2,0,1,0
2025,3,104550,0,2,0,1,0
2024,3,327200,100,2,0,1,0
2024,2,136000,0,3,0,1,0
2024,3,160000,0,2,0,1,0
2024,2,177000,0,2,0,1,0
2024,2,59000,0,2,0,1,0
2024,3,235000,0,2,0,1,0
2025,3,150000,100,2,0,1,0
2025,3,375000,0,2,0,1,0
2025,4,246835,0,2,0,1,0
2024,2,103500,100,2,0,1,0
2024,3,277000,0,2,0,1,0
2024,2,77400,0,2,0,1,0
2022,3,69344,100,3,0,1,0
2025,2,120000,0,2,0,1,0
2024,3,216700,100,2,0,1,0
2025,3,80061,0,2,0,1,0
2024,3,160000,0,2,0,1,0
2024,2,60100,100,2,0,1,0
2025,1,113713,0,2,0,1,0
2024,3,195000,0,2,0,1,0
2025,3,208000,100,2,0,1,0
2025,3,227000,0,2,0,1,0
2024,3,225000,0,2,0,1,0
2024,3,195500,0,2,0,1,0
2025,3,300000,0,2,0,1,0
2024,3,189000,0,2,0,1,0
2025,2,166800,0,2,0,1,0
